Genotype,Actual Mahalanobis Distance,Sampled Mahalanobis Distance,P-Value
High-Severity,8.097040543955758,9.133815129929726,3.562004291130502e-19
Low-Severity,9.470999807830797,9.133782770982146,0.000928560785482819
Wild Type,11.67177275625835,9.133810709990975,9.302819894651246e-63
