Genotype,Actual Mahalanobis Distance,Sampled Mahalanobis Distance,P-Value
High-Severity,7.874466036404469,9.133927870417352,1.0949968408419847e-35
Low-Severity,6.549257169182537,9.133843422139904,1.5175846583218627e-109
Wild Type,10.91040663213425,9.13364535672111,2.163359644103956e-28
