Genotype,Actual Mahalanobis Distance,Sampled Mahalanobis Distance,P-Value
High-Severity,7.874466036404469,9.133794752125153,1.1119583258220476e-35
Low-Severity,6.549257169182537,9.133881047824394,1.508995385292923e-109
Wild Type,10.91040663213425,9.13384643065024,2.1920006956297144e-28
