Genotype,Actual Mahalanobis Distance,Sampled Mahalanobis Distance,P-Value
High-Severity,13.031462562016376,18.187390119229725,6.99492347086418e-05
Low-Severity,20.82320956626853,17.787126316519117,8.054355321228568e-10
Wild Type,11.534309928661042,18.720173838816585,7.925272373500894e-16
